                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.362,                 2.2953,                 1.5374,                0.59023,                0.51921,                0.52846,                0.26014,                 1.7145,                 1.5986,                 1.6636,               0.070033,              0.0033297,              0.0033297
                      1,                 1.2027,                 1.5924,                 1.3996,                0.71656,                0.54954,                0.60827,                0.29221,                 1.7422,                 1.3476,                 1.6902,               0.039373,              0.0060034,              0.0060034
                      2,                 1.1598,                 1.4845,                 1.3716,                0.67929,                 0.5703,                0.60302,                0.28897,                 1.7885,                 1.3213,                 1.6964,              0.0080534,              0.0080171,              0.0080171
                      3,                 1.1854,                 1.4341,                 1.3774,                 0.7629,                0.58007,                0.63353,                0.28657,                 1.7981,                 1.3063,                 1.7477,                0.00703,                0.00703,                0.00703
                      4,                 1.1687,                 1.4019,                 1.3697,                0.78527,                 0.5523,                 0.6294,                 0.2888,                 1.8328,                 1.2883,                 1.7742,                0.00703,                0.00703,                0.00703
                      5,                 1.1516,                 1.3284,                  1.357,                0.74182,                0.59827,                0.66358,                0.31706,                 1.8471,                 1.3201,                  1.832,                0.00604,                0.00604,                0.00604
                      6,                 1.1149,                 1.2376,                 1.3287,                0.77721,                0.63618,                0.70788,                0.34656,                 1.7508,                 1.1352,                 1.7115,                0.00505,                0.00505,                0.00505
                      7,                 1.0731,                 1.1437,                 1.3038,                0.80958,                 0.6445,                0.70823,                0.37166,                 1.6949,                 1.0952,                  1.673,                0.00406,                0.00406,                0.00406
                      8,                 1.0381,                 1.0843,                 1.2788,                0.86467,                0.63946,                0.73766,                0.38165,                 1.7239,                 1.0071,                 1.7299,                0.00307,                0.00307,                0.00307
                      9,                0.99825,                  1.016,                 1.2579,                0.85689,                0.66794,                0.74021,                0.38121,                 1.7307,                0.96166,                 1.7069,                0.00208,                0.00208,                0.00208
